ResponseID,Date_submitted,Last_page,Start_language,Seed,date_begun,date_lastaction,Are_you_a_stude.._,I_understand_th.._,I_understand_th.._,I_have_talked_t.._,focusgroup_participant,focusgroup_number,firsttime_completingsurvey,age,school_yesorno,gradeoryear,uni_program,goodatschool_important,adultwhocares_atschool,accepted_atschool,supportedatschool,safe_atschool,hwdsb_scale,pronouns,pronouns_dummy,brothers,numberofbrothers,sisters,numberofsisters,nosibs,sibs_comments,sibcount,postcode,postcode_povertycoded,postcode_covidcoded,white,southasian,chinese,black,filippino,latinx,arab,southeastasian,westasian,korean,japanese,other,politicalparty,politicalparty_other,green_veg,carrots_etc,other_veg,citrusandberries,other_fruits,fullfat_dairy,lowfat_dairy,eggs,nutslegumesandpulses,fishandseafood,processedmeats,other_meat,refined_grains,whole_grains,sweet_bakedgoods,fastfoods,ssbs,juiceandsmoothies,dietq_scale,foodsec1_percep,foodsec2_exp,dietary_restrictions,dietaryrestrictions_comments,worried,sad,pain,tired,annoyed,problemswschoolwork,problemswsleep,problemswdailyroutine,canjoinactivities,chudbehav_scale,chudfeelings_scale,chudbehavs_scale,chudfull_scale,precovid_cantril,covid_cantrill,cantrill_changewcovid,optimistic,useful,relaxed,dealingwproblemswell,thinkingclearly,feelingclosetoppl,decisive,edinborough_scale,bedtime_lastnight,bedtime_lastnight_numeric,bedtime_lastnight_simplified,coded_bedtimelastnight,wakeuptime_thisAM,wakeuptime_thismorn_numeric,wakeuptime_thisAM_simplified,lastnight_hoursslept,usualschoolbedtime,usualschoolbedtime_simple,usualweekendbedtime,usualweekendbedtime_simplified,usualweekendwakeuptime_simplified,usualweekendwakeuptime,usualweekend_hoursslept,usualsleepdisruptions,usualsleepdisruptions2,sleepscale,overallsleepchanges_covid,overallsleepqualchange_covidcoded,activity_yesterday_mins,activityyesterday_coded,walkruncycle,skate,sportsandgym,danceandmartialarts,domesticlabour,overallphysactivitychange_covid,overallphysactivitychangecovid_coded,personalcare_dailyroutine_mins,personalcarechange_covid,personalcarechange_covid,handwashing,handwashing_coded,handwashingchange_covid,vidwatching_freq,socialmed_freq,singleplayergames_freq,multiplayergames_freq,screensasdistractionchange_covid,paidjob_freq,volunteering_freq,leadershipandactivism_freq,heavyschoolwork_freq,books,magazines,audiobooksandpodcasts,friendsinperson,friendsonline,talktofamily_inhouse,talktofamily_outofhousehold,cook_bake,nature,art,creativewriting,playmusic,hobbies,gamesandpuzzles,anythingelseabouttimeuse,anythingunusualaboutthelastfewweeks,What_else_would.._,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,18-Sep-20,6,en,466060949,18-Sep-20,18-Sep-20,,,,,,1,Yes,16,,10,,,,,,,,She/her,0,1,1,1,2,0,,2,L9H,L9H,L9H,1,0,0,0,0,0,0,0,0,0,0,,NDP,,2,1,3,3,3,3,2,2,2,2,0,0,2,1,-2,-2,-2,2,22,,,1,pescatarian,3,3,1,4,1,3,4,2,4,,12,13,25,7,3,-4,1,2,2,2,2,3,1,13,,,,,,,,,Between 12:30AM and 1:30AM,1,Between 10PM and 11:30PM,-1.25,Between 11AM and noon,11.5,12.75,1,5,,A lot more.,2,,,About once a week.,Never.,Never.,About once a week.,A few times a week.,A lot less.,-2,30-60,A little bit more.,1,"It really depends on whether I am at home all day or out for work/ school/ socializing. Frankly, this question is kind of hard to answer.",3,A lot more.,Every day or almost every day.,More than once an hour- I've already done this at least 3 times while filling out this survey.,Never.,Never.,A lot more.,4,0,0,Most weeks.,1,0,4,3,4,5,3,4,3,,0,5,3,,"I feel very unmotivated to do the things I love, I listen to a lot of podcasts normally so quarantine I pretty much listen all day everyday - I don't like silence  lol",This week has been a little different cause school has started,"I've been feeling very lonely, but I think a lot and have come to so many conclusions abt who I am as a person and what I need from the people around me",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,18-Sep-20,6,en,1588955497,18-Sep-20,18-Sep-20,,,,,,1,Yes,16,,11,,,,,,,,She/her,0,1,1,0,,0,,1,L9H,L9H,L9H,0,0,0,0,0,0,0,0,1,0,0,Muslim,NDP,,2,3,3,1,3,2,2,4,4,1,0,4,1,3,0,-1,0,2,34,,,1,no pork,3,2,2,5,2,2,2,2,1,,14,7,21,5,6,1,4,3,3,4,4,1,2,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,18-Sep-20,6,en,307889457,18-Sep-20,18-Sep-20,,,,,,2,Yes,17,,12,,,,,,,0,She/her,0,1,1,0,,0,,1,L6H,L6H,L6H,0,0,0,0,0,0,1,0,0,0,0,,CONS,,2,0,2,2,2,3,3,4,3,1,-2,3,2,1,-2,-2,0,0,22,,,0,,2,1,1,2,1,2,1,1,2,,7,6,13,10,9,-1,4,3,3,4,4,3,4,25,,,,,,,,,Between 9PM and 10PM,-2.5,Between 9PM and 10PM,-2.5,Between 7AM and 8AM,7.5,10,2,1,3,A little more.,1,Fewer than 15,0,About once a week.,Never.,Never.,Once every few weeks.,Once every few weeks.,A little bit more.,1,15-30,A little bit more.,1,3-5 times per day.,1,A little bit more.,Every day or almost every day.,A few times a day.,Never.,About once a week.,A little bit less.,1,1,0,Every week.,0,0,0,2,5,5,2,1,3,1,0,3,3,1,,"School started, so I'm spending way less time with friends, and more time working.","I'm much closer with my brother and dog, who I'm with at home everyday.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,24-Nov-20,7,en,670199470,24-Nov-20,24-Nov-20,"No, I was NOT invited to do this survey by my parent or guardian (e.g., I found out about it on social media or through a digital ad at my college or university) OR I am over 18 and the HWDSB emailed me to ask me to participate.",,"YES, I agree to participate and I'm between the ages of 16 and 19 years.",,"YES, I am part of a CanTec-19 focus group",3,Yes,19,,,,,,,,,,He/him,1,1,1,0,,0,,1,L8S,L8S,L8S,1,0,0,0,0,0,0,0,0,0,0,,NDP,,2,2,2,2,2,0,2,2,1,0,0,4,0,0,-1,-1,-2,0,15,0,0,,,1,1,1,1,1,1,1,1,1,,5,4,9,10,9,-1,4,4,4,4,4,5,5,30,Later than 1:30 AM,2:00:00,2,6,Between 11 AM and noon,11:30:00,11.5,9.5,Between 12:30AM and 1:30AM,1,Later than 1:30AM,2,Between 11AM and noon,11.5,9.5,1,1,8,About the same.,0,15-30,1,A few times a week.,Never.,Never.,Never.,More than once a day,A little bit less.,-1,15-30,A little bit less.,-1,"It really depends on whether I am at home all day or out for work/ school/ socializing. Frankly, this question is kind of hard to answer.",3,A lot more.,More than once a day.,A few times a day.,A few times a week.,Once every few weeks.,A lot more.,1,0,0,Every week.,0,0,0,5,1,5,2,5,3,0,0,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,24-Nov-20,7,en,1370748269,24-Nov-20,24-Nov-20,"No, I was NOT invited to do this survey by my parent or guardian (e.g., I found out about it on social media or through a digital ad at my college or university) OR I am over 18 and the HWDSB emailed me to ask me to participate.",,"YES, I agree to participate and I'm between the ages of 16 and 19 years.",,"YES, I am part of a CanTec-19 focus group",3,Yes,19,"YES, I go to school",ps2,,,,,,,,He/him,1,0,,0,,1,,0,L8S,L8S,L8S,1,0,0,0,0,0,0,0,0,0,0,,DisagreewAll,,1,1,1,2,3,4,2,0,3,2,-1,4,2,1,-2,-1,-2,0,20,0,0,0,,2,2,1,3,2,3,2,3,3,,10,11,21,8,6,-2,4,4,2,3,3,3,5,24,Later than 1:30 AM,2:00:00,2,6,Later than noon,13:00:00,13,11,Later than 1:30AM,2,Later than 1:30AM,2,Later than noon,13,11,1,3,10,A lot more.,2,Fewer than 15,0,Never.,Never.,Once every few weeks.,Never.,Every day or almost every day.,A lot less.,-2,15-30,A little bit less.,-1,6-10 times per day.,2,,,,,,,,,,,1,0,1,0,3,0,1,0,2,0,0,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,27-Nov-20,7,en,750132859,27-Nov-20,27-Nov-20,"No, I was NOT invited to do this survey by my parent or guardian (e.g., I found out about it on social media or through a digital ad at my college or university) OR I am over 18 and the HWDSB emailed me to ask me to participate.",,"YES, I agree to participate and I'm between the ages of 16 and 19 years.",,"YES, I am part of a CanTec-19 focus group",3,Yes,19,"YES, I go to school",ps2,,,,,,,,He/him,1,1,1,1,2,0,,2,L8S,L8S,L8S,1,0,0,0,0,0,0,0,0,0,0,,LIB,,0,2,2,0,0,1,3,3,0,1,0,3,0,1,-2,-1,-2,0,11,,0,0,,2,3,2,1,4,1,1,1,4,,12,7,19,6,6,0,5,2,3,2,3,5,4,24,Later than 1:30 AM,2:00:00,2,6,Between 9 AM and 10 AM,9:30:00,9.5,7.5,Between 12:30AM and 1:30AM,1,Between 12:30AM and 1:30AM,1,Between 8AM and 9AM,8.5,7.5,1,2,9,A little more.,1,30-60,2,Once every few weeks.,Never.,Never.,Every day or almost every day.,Every day or almost every day.,A lot less.,-2,15-30,About the same.,0,3-5 times per day.,1,About the same.,Every day or almost every day.,More than once an hour- I've already done this at least 3 times while filling out this survey.,Every day or almost every day.,Every day or almost every day.,A lot more.,0,0,0,Most weeks.,0,0,0,5,0,2,3,4,3,0,1,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,27-Nov-20,7,en,1270188447,27-Nov-20,27-Nov-20,"No, I was NOT invited to do this survey by my parent or guardian (e.g., I found out about it on social media or through a digital ad at my college or university) OR I am over 18 and the HWDSB emailed me to ask me to participate.",,"YES, I agree to participate and I'm between the ages of 16 and 19 years.",,"YES, I am part of a CanTec-19 focus group",3,Yes,19,"YES, I go to school",ps2,2nd year political science,,,,,,,He/him,1,0,,1,2,0,,1,L4G,L4G,L4G,1,0,0,0,0,0,0,0,0,0,0,,,,2,3,2,1,,3,3,4,2,,-2,4,2,2,-2,0,-2,,,0,0,0,,1,1,1,3,1,1,1,1,2,,7,5,12,8,7,-1,3,5,4,5,5,4,3,29,Later than 1:30 AM,2:00:00,2,6,Between 10 AM and 11 AM,10:30:00,10.5,8.5,Between 12:30AM and 1:30AM,1,Between 12:30AM and 1:30AM,1,Between 8AM and 9AM,8.5,7.5,2,2,10,About the same.,0,15-30,1,A few times a week.,,A few times a week.,,A few times a week.,A little bit more.,1,,About the same.,0,"It really depends on whether I am at home all day or out for work/ school/ socializing. Frankly, this question is kind of hard to answer.",3,A lot more.,A few times a week.,A few times a day.,About once a week.,A few times a week.,A little bit more.,4,0,0,Most weeks.,2,1,0,2,3,,1,4,1,0,0,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,30-Nov-20,7,en,,30-Nov-20,30-Nov-20,"No, I was NOT invited to do this survey by my parent or guardian (e.g., I found out about it on social media or through a digital ad at my college or university) OR I am over 18 and the HWDSB emailed me to ask me to participate.",,"YES, I agree to participate and I'm between the ages of 16 and 19 years.",,"YES, I am part of a CanTec-19 focus group",3,Yes,19,"YES, I go to school",ps1,,,,,,,,He/him,1,N/A,,1,1,N/A,,1,L8S,L8S,L8S,1,,,,,,,,,,,,LIB,,2,1,2,0,2,3,2,3,3,0,-2,2,2,1,-1,-2,-1,0,17,0,0,0,,3,1,1,3,1,3,1,1,1,,9,6,15,8,7,-1,4,3,2,3,2,4,4,22,Between 12:30 AM and 1:30 AM,1:00:00,1,5,Between 9 AM and 10 AM,9:30:00,9.5,8.5,Later than 1:30AM,2,Between 10PM and 11:30PM,-1.25,Between 10AM and 11AM,10.5,11.75,2,4,11,A little less.,-1,30-60,2,Every day or almost every day.,A few times a week.,Never.,Once every few weeks.,A few times a week.,A lot less.,-2,15-30,A little bit less.,-1,More than 10 times per day.,4,A lot more.,Every day or almost every day.,At least once an hour.,A few times a week.,A few times a week.,A lot more.,2,0,0,Every week.,2,0,3,2,3,0,3,2,2,0,0,4,0,0,,,Connections with people through online platforms has become so much more important to me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,5,en,1491922425,05-Nov-20,05-Nov-20,,,,,,,Yes,16,,10,,,,,,,,,,0,,0,,0,,0,N0A,N0A,N0A,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,23-Dec-20,7,en,344600306,23-Dec-20,23-Dec-20,"YES, I am a student at the HWDSB AND my parent or guardian sent me an invitation to participate in this survey.","YES, I agree to participate and I'm allowed to participate.",,,,,Yes,18,"YES, I go to school",,,,,,,,,She/her,0,0,,1,1,0,,1,L0R,L0R,L0R,1,0,0,0,0,0,0,0,0,0,0,,LIB,,2,0,2,3,0,4,0,0,0,0,0,4,0,2,-1,0,0,0,16,0,1,0,,3,4,2,4,4,3,3,3,2,,17,11,28,7,3,-4,3,3,3,3,3,3,3,21,Later than 1:30 AM,2:00:00,2,6,Between 8 AM and 9 AM,8:30:00,8.5,6.5,Between 11:30PM and 12:30AM,0,Between 12:30AM and 1:30AM,1,Between 7AM and 8AM,7.5,6.5,4,3,13,A little less.,-1,30-60,2,A few times a week.,A few times a week.,A few times a week.,A few times a week.,A few times a week.,A little bit less.,-1,Fewer than 15,About the same.,0,6-10 times per day.,2,A lot more.,About once a week.,A few times a day.,About once a week.,About once a week.,A little bit more.,1,2,2,Most weeks.,1,0,0,1,0,4,1,1,3,0,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
